model_layer,slab_budget,measured_bytes_per_position,projected_behavioral_cost,measured_kl_at_budget,mean_exact_fallback_routes
60,120,64512000,0.0006226314905604525,,0.0
60,144,77414400,0.00022123246715305978,,0.0
60,168,90316800,4.172692950909839e-05,,0.0
60,192,103219200,5.271823658090104e-34,,0.0
61,24,12902400,0.025651635406750216,,0.0
61,48,25804800,0.013298480151770075,,0.0
61,72,38707200,0.007074171962581342,,0.0
61,96,51609600,0.003588661725994363,0.003588661725994363,0.0
61,120,64512000,0.0016214254781167531,,0.0
61,144,77414400,0.0005754062151217686,,0.0
61,168,90316800,0.00010841017110008694,,0.0
61,192,103219200,2.223428873157339e-33,,0.0
62,24,12902400,0.005093728006307341,,0.0
62,48,25804800,0.0026027025345332524,,0.0
62,72,38707200,0.0013698738126128457,,0.0
62,96,51609600,0.0006933170657550457,0.0006933170657550457,0.0
62,120,64512000,0.0003147002070540169,,0.0
62,144,77414400,0.00011229590548255273,,0.0
62,168,90316800,2.1303402433508507e-05,,0.0
62,192,103219200,4.97661259125806e-34,,0.0
63,24,12902400,0.019832062363753573,,0.0
63,48,25804800,0.009443024423086345,,0.0
63,72,38707200,0.004796030521910602,,0.0
63,96,51609600,0.00237850130309188,0.00237850130309188,0.0
63,120,64512000,0.0010664201245994959,,0.0
63,144,77414400,0.00037850916671725135,,0.0
63,168,90316800,7.187237807551169e-05,,0.0
63,192,103219200,1.5789038300053058e-33,,0.0
64,24,12902400,0.0653908130201837,,0.0
64,48,25804800,0.030571366430494698,,0.0
64,72,38707200,0.015487607264255512,,0.0
64,96,51609600,0.0076969122752479,0.007696912275247901,0.0
64,120,64512000,0.0034587538825317675,,0.0
64,144,77414400,0.0012276634324000317,,0.0
64,168,90316800,0.00023193983413037837,,0.0
64,192,103219200,6.719330491931973e-33,,0.0
65,24,14112000,0.018338234859976967,,0.1875
65,48,27014400,0.008935829054238913,,0.1875
65,72,39916800,0.0045286385324042845,,0.1875
65,96,52819200,0.002207677220813711,0.002207677220813711,0.1875
65,120,65721600,0.0009702069209967613,,0.1875
65,144,78624000,0.00033704186348841776,,0.1875
65,168,91526400,6.21361578491875e-05,,0.1875
65,192,103219200,1.342124053156815e-33,,0.1875
66,24,12902400,0.020472622175459778,,0.0
66,48,25804800,0.009836377923039477,,0.0
66,72,38707200,0.005021558628565199,,0.0
66,96,51609600,0.0024906952864966188,0.0024906952864966183,0.0
66,120,64512000,0.0011173981027617988,,0.0
66,144,77414400,0.0003958253592913521,,0.0
66,168,90316800,7.419077264596444e-05,,0.0
66,192,103219200,1.4606034780343801e-33,,0.0
67,24,12902400,0.025280975238590412,,0.0
67,48,25804800,0.012074880577491997,,0.0
67,72,38707200,0.0060635740451101,,0.0
67,96,51609600,0.002962778604550252,0.002962778604550252,0.0
67,120,64512000,0.0013089954195839313,,0.0
67,144,77414400,0.00045830973062544345,,0.0
67,168,90316800,8.608681066221016e-05,,0.0
67,192,103219200,1.820542890583956e-33,,0.0
68,24,15654912,0.01513973176226104,,0.0
68,48,31309824,0.006799604481001876,,0.0
68,72,46964736,0.0032038843305385914,,0.0
68,96,62619648,0.0014896161607857578,0.001489616160785758,0.0
68,120,78274560,0.0006371025355645639,,0.0
68,144,93929472,0.00021975189148374117,,0.0
68,168,109584384,4.20282929103633e-05,,0.0
68,192,125239296,1.4798114536950788e-33,,0.0
69,24,15654912,0.010885002105331576,,0.0
69,48,31309824,0.005375440351993807,,0.0
69,72,46964736,0.0027753635697893354,,0.0
69,96,62619648,0.0013845750028103488,0.0013845750028103488,0.0
69,120,78274560,0.000623375683458715,,0.0
69,144,93929472,0.00022386278472299236,,0.0
69,168,109584384,4.34783538066042e-05,,0.0
69,192,125239296,1.0576036257230991e-33,,0.0
70,24,15654912,0.023088001070749837,,0.0
70,48,31309824,0.010916691592798141,,0.0
70,72,46964736,0.005480240021837972,,0.0
70,96,62619648,0.002688444348814144,0.002688444348814144,0.0
70,120,78274560,0.0011928949169083135,,0.0
70,144,93929472,0.00042250114104150393,,0.0
70,168,109584384,8.209425694151283e-05,,0.0
70,192,125239296,3.0223156987501728e-33,,0.0
71,24,15654912,0.016035176042577468,,0.0
71,48,31309824,0.007463268875245531,,0.0
71,72,46964736,0.003707923826391485,,0.0
71,96,62619648,0.0017978768607260153,0.0017978768607260153,0.0
71,120,78274560,0.0007913388535617814,,0.0
71,144,93929472,0.00027835714333287076,,0.0
71,168,109584384,5.3531078774677326e-05,,0.0
71,192,125239296,2.0999246655732496e-33,,0.0
72,24,12902400,0.039714839336747784,,0.0
72,48,25804800,0.02051721706057718,,0.0
