model_layer,slab_budget,measured_bytes_per_position,projected_behavioral_cost,measured_kl_at_budget,mean_exact_fallback_routes
20,120,84470400,0.0011367872880706507,,3.09375
20,144,95760000,0.00030925555297287114,,3.09375
20,168,102009600,3.789589889149992e-05,,3.09375
20,192,103219200,1.2005001361993285e-33,,3.09375
21,24,19555200,0.010208240683141991,,1.03125
21,48,32457600,0.00509325938097314,,1.03125
21,72,45360000,0.0025468965401926153,,1.03125
21,96,58262400,0.0012067579035361382,0.001206757903536138,1.03125
21,120,71164800,0.0005081332382190452,,1.03125
21,144,84067200,0.0001613690910051711,,1.03125
21,168,95961600,2.1849136141408274e-05,,1.03125
21,192,103219200,7.04163780336775e-34,,1.03125
22,24,25401600,0.02748030358128444,,1.9375
22,48,38304000,0.01400925039564968,,1.9375
22,72,51206400,0.007174364156511957,,1.9375
22,96,64108800,0.0034504004949722318,0.0034504004949722318,1.9375
22,120,77011200,0.0014376436768860472,,1.9375
22,144,89712000,0.0004344250429027272,,1.9375
22,168,99993600,5.6154382405961624e-05,,1.9375
22,192,103219200,2.5871303467182654e-33,,1.9375
23,24,31651200,0.03462521073079297,,2.90625
23,48,44553600,0.017171710057066834,,2.90625
23,72,57456000,0.00837927333226887,,2.90625
23,96,70358400,0.0037501089219058514,0.0037501089219058514,2.90625
23,120,83260800,0.0013901494326061556,,2.90625
23,144,94953600,0.00033500116885845974,,2.90625
23,168,101404800,2.71153350351766e-05,,2.90625
23,192,103219200,2.5268799284836217e-33,,2.90625
24,24,22579200,0.007726911479328767,,1.5
24,48,35481600,0.005007340674852462,,1.5
24,72,48384000,0.003115389783708121,,1.5
24,96,61286400,0.001789201488213953,0.0017892014882139532,1.5
24,120,74188800,0.0008874040593015602,,1.5
24,144,87091200,0.00032602553874383277,,1.5
24,168,98784000,5.224403745238069e-05,,1.5
24,192,103219200,3.6585795115711653e-34,,1.5
25,24,22377600,0.008266765524300432,,1.46875
25,48,35280000,0.005213460526578283,,1.46875
25,72,48182400,0.0031482563620434984,,1.46875
25,96,61084800,0.0017470993504443981,0.001747099350444398,1.46875
25,120,73987200,0.0008355227135916191,,1.46875
25,144,86688000,0.0002944277528454724,,1.46875
25,168,98179200,4.594672800766182e-05,,1.46875
25,192,103219200,2.7412034205779684e-34,,1.46875
26,24,26409600,0.008793236786257114,,2.09375
26,48,39312000,0.005391981942877238,,2.09375
26,72,52214400,0.0031157977052173017,,2.09375
26,96,65116800,0.001623672347066723,0.001623672347066723,2.09375
26,120,78019200,0.0007087533226806051,,2.09375
26,144,90115200,0.00021792980097589052,,2.09375
26,168,99388800,2.68847405447371e-05,,2.09375
26,192,103219200,4.238856364254255e-34,,2.09375
27,24,21772800,0.014218595688999223,,1.375
27,48,34675200,0.008668147080635534,,1.375
27,72,47577600,0.00499508924254353,,1.375
27,96,60480000,0.0025926771350515097,0.0025926771350515097,1.375
27,120,73382400,0.001129668714416201,,1.375
27,144,86284800,0.0003449603225742592,,1.375
27,168,97776000,4.105930985617574e-05,,1.375
27,192,103219200,6.918152149097644e-34,,1.375
28,24,24192000,0.019622284878941233,,1.75
28,48,37094400,0.011745976078241968,,1.75
28,72,49996800,0.006714957186776231,,1.75
28,96,62899200,0.0035364229101326355,0.003536422910132636,1.75
28,120,75801600,0.0016055085441077186,,1.75
28,144,88502400,0.0005406132322135391,,1.75
28,168,98784000,7.646820642902184e-05,,1.75
28,192,103219200,6.302698263115916e-34,,1.75
29,24,26812800,0.024390003428938035,,2.15625
29,48,39715200,0.014201081535594122,,2.15625
29,72,52617600,0.007843069593646626,,2.15625
29,96,65520000,0.0039324594838684186,0.0039324594838684186,2.15625
29,120,78422400,0.0016528818985070588,,2.15625
29,144,90921600,0.00048740654551535675,,2.15625
29,168,99590400,5.6347958826193404e-05,,2.15625
29,192,103219200,1.1335672284512968e-33,,2.15625
30,24,20563200,0.010725959287205261,,1.1875
30,48,33465600,0.006015839860994286,,1.1875
30,72,46368000,0.0032401048500152936,,1.1875
30,96,59270400,0.001584813678287938,0.001584813678287938,1.1875
30,120,72172800,0.0006523395053615845,,1.1875
30,144,85075200,0.00018792123683373968,,1.1875
30,168,97574400,2.125916555896668e-05,,1.1875
30,192,103219200,4.483102822232295e-34,,1.1875
31,24,28224000,0.012179173235423746,,2.375
31,48,41126400,0.007035752311576774,,2.375
31,72,54028800,0.0038576697434622984,,2.375
31,96,66931200,0.0019153347755940249,0.0019153347755940253,2.375
31,120,79833600,0.0007940349402274215,,2.375
31,144,92131200,0.00022369387831809234,,2.375
31,168,100396800,2.5316166180068275e-05,,2.375
31,192,103219200,6.104042772847643e-34,,2.375
32,24,23788800,0.0337442796916717,,1.6875
32,48,36691200,0.01913643423280778,,1.6875
32,72,49593600,0.010384249354981738,,1.6875
